2025-10-16;16:04:54;Zosterops virens;Cape White-eye;0.7903;-33.9278;18.4070;0.7;42;1.25;0.0
2025-10-16;16:07:01;Zosterops virens;Cape White-eye;0.7569;-33.9278;18.4070;0.7;42;1.25;0.0
2025-10-16;16:07:08;Zosterops virens;Cape White-eye;0.9038;-33.9278;18.4070;0.7;42;1.25;0.0
2025-10-16;16:07:11;Zosterops virens;Cape White-eye;0.7301;-33.9278;18.4070;0.7;42;1.25;0.0
2025-10-16;16:14:15;Streptopelia semitorquata;Red-eyed Dove;0.9816;-33.9278;18.4070;0.7;42;1.25;0.0
2025-10-16;16:14:18;Streptopelia semitorquata;Red-eyed Dove;0.9111;-33.9278;18.4070;0.7;42;1.25;0.0
2025-10-16;16:16:28;Streptopelia semitorquata;Red-eyed Dove;0.8562;-33.9278;18.4070;0.7;42;1.25;0.0
2025-10-16;16:16:31;Streptopelia semitorquata;Red-eyed Dove;0.9493;-33.9278;18.4070;0.7;42;1.25;0.0
2025-10-16;16:16:34;Streptopelia semitorquata;Red-eyed Dove;0.798;-33.9278;18.4070;0.7;42;1.25;0.0
2025-10-16;16:16:37;Streptopelia semitorquata;Red-eyed Dove;0.9465;-33.9278;18.4070;0.7;42;1.25;0.0
2025-10-16;16:52:29;Zosterops virens;Cape White-eye;0.7309;-33.9278;18.4070;0.7;42;1.25;0.0
2025-10-16;17:41:09;Zosterops virens;Cape White-eye;0.7152;-33.9278;18.4070;0.7;42;1.25;0.0
2025-10-16;17:41:54;Zosterops virens;Cape White-eye;0.8313;-33.9278;18.4070;0.7;42;1.25;0.0
2025-10-16;17:50:23;Zosterops virens;Cape White-eye;0.7767;-33.9278;18.4070;0.7;42;1.25;0.0
2025-10-17;08:58:23;Zosterops virens;Cape White-eye;0.9041;-33.9278;18.4070;0.7;42;1.25;0.0
2025-10-17;09:00:30;Streptopelia semitorquata;Red-eyed Dove;0.9408;-33.9278;18.4070;0.7;42;1.25;0.0
2025-10-17;10:04:12;Zosterops virens;Cape White-eye;0.5546;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;10:16:39;Streptopelia semitorquata;Red-eyed Dove;0.9699;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;10:16:41;Streptopelia semitorquata;Red-eyed Dove;0.9209;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;10:44:33;Cinnyris chalybeus;Southern Double-collared Sunbird;0.6476;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;10:44:52;Cinnyris chalybeus;Southern Double-collared Sunbird;0.6413;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;10:45:03;Cinnyris chalybeus;Southern Double-collared Sunbird;0.5424;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;10:45:29;Cinnyris chalybeus;Southern Double-collared Sunbird;0.6783;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;10:45:38;Cinnyris chalybeus;Southern Double-collared Sunbird;0.599;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;10:45:47;Cinnyris chalybeus;Southern Double-collared Sunbird;0.6672;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;10:45:55;Cinnyris chalybeus;Southern Double-collared Sunbird;0.716;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;10:46:19;Cinnyris chalybeus;Southern Double-collared Sunbird;0.5755;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;10:46:36;Cinnyris chalybeus;Southern Double-collared Sunbird;0.5278;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;11:00:04;Cinnyris chalybeus;Southern Double-collared Sunbird;0.7597;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;11:00:56;Cinnyris chalybeus;Southern Double-collared Sunbird;0.8305;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;11:00:58;Cinnyris chalybeus;Southern Double-collared Sunbird;0.6364;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;11:16:23;Zosterops virens;Cape White-eye;0.8036;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;11:16:30;Zosterops virens;Cape White-eye;0.6583;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;11:22:16;Streptopelia semitorquata;Red-eyed Dove;0.6969;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;11:28:59;Cinnyris chalybeus;Southern Double-collared Sunbird;0.7725;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;12:07:14;Cinnyris chalybeus;Southern Double-collared Sunbird;0.8133;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;12:07:23;Cinnyris chalybeus;Southern Double-collared Sunbird;0.5454;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;12:11:20;Zosterops virens;Cape White-eye;0.5563;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;12:15:40;Zosterops virens;Cape White-eye;0.7745;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;12:16:11;Zosterops virens;Cape White-eye;0.6982;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;12:16:13;Zosterops virens;Cape White-eye;0.6092;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;12:31:58;Buteo buteo;Common Buzzard;0.5255;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;13:01:17;Buteo buteo;Common Buzzard;0.513;-33.9278;18.4070;0.5;42;1.25;1
2025-10-17;14:04:24;Cinnyris chalybeus;Southern Double-collared Sunbird;0.8025;-33.9278;18.4070;0.7;42;1.25;1
